"sample_id","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","RMSE"
"TCGA-A2-A0SV-01A",0,0.00208814654305875,0,0.0205383292466393,0,0.290701341526424,0,0.0906902520562426,0,0,0.00980430391087234,0.0154798049994979,0.0299608227896488,0.113704941720434,0.104357695908695,0.133277288577314,0.0284448761557195,0.0441602204374781,0.0697688790872823,0,0.03656539293226,0.0104577041084336,1.89796176848988
"TCGA-A2-A0SW-01A",0.0869488499790238,0.0608983455209185,0.0353387749996101,0.100197406712204,0,0.140078230430426,0.0589684376358257,0.0342276174939927,0,0,0,0.022317579281216,0.039237192679334,0.0984923968018112,0.117235185406545,0.0708719988628245,0,0.0560943246726408,0.0756357945658083,0,0.00345786495782017,0,1.80179275621085
"TCGA-A2-A0SX-01A",0.0887065207220992,0.0390479358964509,0.0115229321744912,0.0916399642320684,0,0.154165956057731,0.00765946192916022,0.0869319509884894,0.0179225481883419,0,0,0.0207668774159489,0.0624505157736356,0.129907256996781,0.1408419134514,0.0713685262008018,0,0.0710000264477514,0.0060676135248482,0,0,0,1.8537738675565
"TCGA-A2-A0SY-01A",0.227808150857576,0,0.0210278318061332,0.0872454052103407,0,0.207826965679305,0,0.0470368074845845,0,0,0,0.0456729865573388,0.0468644890927545,0.0791381887473993,0.0731399301066365,0.0341485182003119,0.00852513313511608,0.0195672727404788,0.101998320382025,0,0,0,1.76216482508767
"TCGA-A2-A0T0-01A",0.0337920157121646,0,0.00922091684421433,0.0219276074482671,0,0.183707817448565,0,0.115712521544568,0.0335500216326458,0,0.00266821923052058,0.0296476813195375,0.0469102843175681,0.098626647146655,0.148009034129639,0.180799287302201,0,0.0298737211134855,0,0.0628450909981398,0.00270913381182926,0,1.85079304743618
"TCGA-A2-A0T1-01A",0.0800534960973524,1.66529892852161e-05,0,0.106258033017194,0,0.160210765933654,0,0.0490731279396981,0.0255830091678532,0,0,0.0738870135908009,0.0614227426560067,0.0699587417575735,0.137513739201477,0.109441412570468,0.0137570617566898,0.044784529439605,0.0680396738823427,0,0,0,1.77419046419695
"TCGA-A2-A0T2-01A",0.0026171075328319,0,0,0.101048621138683,0,0.144194716540336,0,0.165619636296353,0,0,0,0.106843228650128,0.0550172558773973,0.0816756533304753,0.130610314534274,0.142434861358149,0,0.0323562065434012,0.0321289229962001,0,0,0.0054534752017715,1.78653104015737
"TCGA-A2-A0T3-01A",0.1297033727112,0,0.00377139317107618,0.0496631410539721,0,0.180572002640911,0,0.056831511593076,0,0,0.111907397715857,0,0.0479735197649886,0.209641269967372,0.112671474688254,0.0600338890208103,0,0.0372310276724824,0,0,0,0,1.78694694934068
"TCGA-A2-A0T4-01A",0.117119379994102,0,0.0132211189047979,0.0781540662904338,0,0.132618361530903,0,0.0603447821287192,0.00598599290882873,0,0,0.0393502463784232,0.0530643097258866,0.0536164549472018,0.102129982880181,0.116737947402792,0.00469909353382182,0.0728449409707004,0.150113322403208,0,0,0,1.79539846039355
"TCGA-A2-A0T5-01A",0.0907184484911915,0.0280194329460588,0,0,0,0.160097148672594,0,0.12535632124915,0.0333362423073295,0,0.0408222923400252,0.0490851830306493,0.0253517709036379,0.0984858461020492,0.11140411556458,0.11958843711829,0.0353864605854654,0.048959477687931,0.0333888230010482,0,0,0,1.86114774741413
"TCGA-A2-A0T6-01A",0.134740349142895,0,0,0.0616460345077062,0,0.212912174653845,0,0.097139015042143,0,0,0.016699527480702,0,0.0421236864693556,0.041552319811372,0.0739710504129133,0.065617166241739,0.0454389972405882,0.0555537472850138,0.136345009752144,0,0.0162609219595824,0,1.87217203495762
"TCGA-A2-A0T7-01A",0.132570356885933,0,0.0420410083882546,0.0701011014986074,0,0.157507571290011,0,0.0539976693506281,0.0202530384602164,0,0,0.051999777079373,0.0165925552021188,0.093476153027243,0.0861019182696906,0.150405358872008,0,0.0282816772328257,0.0966718144430915,0,0,0,1.87115844966771
"TCGA-A2-A0YC-01A",0.0344970952918575,0,0.00879361063901042,0.177222251356364,0,0.158723590130382,0,0.00843573213530948,0.00800121461102135,0,0,0.0489378408353411,0.0342493035403047,0.0719651093539024,0.0689605301912036,0.120517224388849,0.000199209548610637,0.0919498405046872,0.167547447473157,0,0,0,1.81979755818837
"TCGA-A2-A0YD-01A",0.0846232382058276,0,0.0220853478175014,0.0783240222475408,0,0.1375235796973,0,0.0992114298720128,0,0,0.046990434049228,0.0109498626307015,0.0667439825452536,0.0559650750328304,0.0810419808703744,0.120203272295308,0.00382856507852547,0.0752639603862848,0.10724481280074,0,0.00805273197590383,0.00194770449466769,1.90111634009509
"TCGA-A2-A0YE-01A",0.122643770636109,0,0.11679190664289,0.0270211682225665,0,0.142161766182804,0,0.0865035455404592,0,0,0,0.117324810416991,0.0417672874532442,0.0966298042367457,0.115677002686683,0.0434420484999249,0,0.0249113477048919,0.0651255417766896,0,0,0,1.92925428841485
